ra,dec,mag_r,type
166.13330191767423,31.159375222890265,16.279995,SER
53.135286,-27.874995,24.154015,EXP
316.8134578284721,-6.3194707495182065,17.695526,SER
150.5416472,2.3594034,21.043749,REX
159.155593872,1.0783504247700002,16.467941,SER
203.48552646317356,-0.1736762287829155,16.53224,SER
325.47244615021896,-50.554039721355224,18.942633,SER
316.4775808344778,9.270714725392272,16.609196,REX
248.1137452063969,20.64270679458851,16.744047,SER
8.13009690293938,-2.405128165756932,18.956844,SER
150.16326,2.2583374,23.45204,PSF
200.960769653,16.9491043091,15.664978,SER
50.120522879684955,-14.800334726380497,15.718296,SER
165.4808535341781,28.594843836199406,15.885602,SER
221.1590014940449,-6.4268736226421685,15.3646,SER
34.301869,-5.194413900000002,24.502113,PSF
226.74578545966614,22.62585594040713,17.360538,SER
125.228614807,53.392036438000005,inf,DUP
