ra,dec,mag_r,type
229.83260746734223,10.041649107564355,17.082293,SER
149.960807,2.5025679,24.542767,PSF
233.835739136,27.3832607269,inf,DUP
164.42695782368895,-0.3368446492260005,inf,DUP
345.5945379148354,-58.93186219338079,18.667408,SER
51.72368308615177,-9.362837327821055,18.509428,SER
2.3837950101751186,-33.2136068539323,18.328003,SER
50.126512445015635,-43.99473740883742,16.492697,DEV
208.57247013573146,5.282555545114483,16.880327,SER
358.9383491439631,-1.255459038355222,inf,DUP
150.6453025,1.9523085,22.795223,EXP
229.633361633183,31.161363668538336,16.452324,SER
239.69501011801873,10.582338689918515,17.810337,SER
176.52591166701137,3.998729092537913,15.856823,DEV
133.692596436,9.83823108673,inf,DUP
168.071884155,28.0481987,15.865116,SER
150.4916932,2.2202946,23.011383,DEV
155.930496216,22.3623943329,16.428438,SER
213.54073652175924,20.644969543383212,17.37823,DEV
53.1274496,-28.0354997,22.206646,REX
207.862030029,27.8499011993,15.517056,DEV
249.83032775946964,29.836210476385183,17.559822,DEV
28.30574585682852,-57.5934735763665,18.240063,SER
215.63811009315128,23.39763225078416,16.89513,SER
173.2595304945812,4.2711509782862125,16.228579,SER
62.777225690637046,-27.773524562853908,18.234106,SER
215.88927633826967,0.7314441696115462,17.452723,SER
150.3040743,2.3699541,23.13124,REX
159.75075791801004,20.589590063229547,16.337927,SER
8.418586816555734,1.0551104762627208,17.19015,SER
211.824081421,10.8667440414,16.861519,SER
53.032646,-27.724037,26.420847,REX
338.73883947445506,0.2717841421329716,18.80426,SER
181.016143799,43.244159698500006,16.672205,SER
134.959915161,53.10729599,inf,DUP
70.14339506638181,-2.4240538851897746,14.969548,SER
24.952495827471264,-45.536568263669466,18.21261,SER
191.74405605193863,24.42830675943164,16.756916,SER
215.358825684,44.74960327149999,16.085012,SER
231.41174316400003,44.7419052124,inf,DUP
233.40836065770063,14.101698073540904,17.662277,SER
123.278640747,2.99872422218,inf,DUP
176.903564453,20.8620071411,16.0369,SER
153.51574707,25.0360527039,16.316946,SER
151.919891357,60.3160552979,16.498705,SER
157.696640015,41.4388198853,16.809635,SER
228.2596761581442,18.044054985498654,16.715488,DEV
4.995458673155987,0.4514166373514215,18.029837,SER
239.2644445435786,20.41181758993745,17.322466,SER
118.78173508176161,20.66754623672561,17.74355,EXP
43.651021140897754,0.8862040997819788,17.204178,SER
53.166074,-27.820551,25.862665,PSF
162.937255859,23.8913898468,16.073824,SER
232.386077881,23.6441078186,15.533147,SER
195.01828068949496,28.60350525064587,15.010322,SER
19.038193390533884,-8.137065952211186,17.720907,SER
34.235287,-5.205592299999998,21.239008,REX
150.19806,2.1941894,21.08762,REX
168.71783447299998,12.2397556305,15.026376,DEV
34.415334,-5.228359200000001,23.374357,REX
150.7384212,2.574047,22.812551,EXP
219.95246136924678,12.291981689683796,15.297144,SER
122.079658508,9.03821468353,15.872756,SER
14.605785591890637,-52.07043570838437,18.758934,SER
142.34036945087678,32.69941018170443,16.78721,SER
148.17805481,46.0943450928,16.960232,SER
222.3054979908238,11.233696770648958,17.673868,SER
120.4781457655327,29.289526078005846,17.477045,SER
147.942108154,2.76397109032,16.808483,SER
55.6831788251815,-16.140457558281724,18.74919,SER
228.785912644628,4.385866251462434,15.984057,SER
4.701040005985199,0.5527376012880678,18.313133,REX
264.489746094,53.538593292200005,16.169252,DEV
178.67076992180878,27.589482381703352,16.333864,SER
133.1730581231401,14.658366507780103,inf,DUP
186.098617554,23.0461978912,16.2846,SER
158.51364363724792,0.9138779997980162,17.848303,SER
118.633201599,43.701210022,16.925575,SER
34.678178948970896,-11.129917622999523,17.640642,SER
